Génération,Fitness Moyenne,Fitness Maximale,Nombre d'espèces
0,563.1507086666664,2449.9577,5
1,891.0005086092712,3159.293499999999,6
2,934.0840302631577,3856.5688999999998,6
3,1218.0446220000001,3481.654,6
4,1125.3046419999994,3866.2597,6
5,1474.489686000001,3417.5031,6
6,1515.434286,3856.5192999999995,6
7,1522.5245699999998,3442.702099999999,6
8,1530.0960893333336,4162.9995,6
9,1563.501794666667,3796.7823,6
10,1525.170156666667,3850.3965000000003,6
11,1704.639518666667,3629.8713,6
12,1729.0855006666661,3875.2586999999994,6
13,1850.69594,3755.7655999999993,6
14,1892.8462399999987,3966.1560999999992,6
15,1868.479977333333,4239.125099999999,6
16,1816.7917473333332,4084.9186000000004,6
17,1865.2896506666657,3732.6473000000005,6
18,1759.728650666667,3878.7805,6
19,1894.8744099999994,4081.6302,6
20,1800.9606099999999,3393.9552000000003,6
21,1736.1556473333326,3567.2391,6
22,1850.953516666668,4606.9972,6
23,1772.0823146666664,3789.6953000000003,6
24,1673.325652666667,3685.3316999999997,6
25,1691.2769500000002,3882.3825999999995,6
26,1766.044562000001,3621.9630000000006,6
27,1894.612524000001,3796.6021000000005,6
28,1753.266292666666,4003.9314,6
29,1666.3155046666664,4647.6783,5
30,1701.9043800000004,3912.8073000000004,4
31,1715.830013333334,3943.5226999999995,4
32,1825.802816,4038.0296,4
33,1753.7280366666669,3682.3661,4
34,1762.2979093333333,3953.778,4
35,1903.5729353333338,4065.3972999999996,4
36,1821.174475333334,3847.2349,4
37,1934.0456413333336,3864.7700999999997,4
38,1819.5417820000005,3591.5696000000003,4
39,1797.3965206666676,3658.3579,4
40,1734.0211139999997,3681.5916,4
41,1886.3735000000006,3441.2821999999996,4
42,1835.061976,4689.823399999999,4
43,1825.2939833333332,3948.1974,4
44,2079.256004,4303.065100000001,4
45,1869.006317333333,4348.1492,4
46,1994.0108000000018,4167.0129,4
47,1910.9086726666674,4040.9083999999993,4
48,1870.7660786666675,3824.857100000001,4
49,1851.7443666666672,4084.869,4
50,1879.047790666667,4758.988000000001,4
51,1797.761760666666,4037.9775,4
52,1862.9323553333338,4117.849200000001,4
53,1764.9702760000007,3815.5021000000006,4
54,1956.451879333333,3731.4117000000006,4
55,2152.3830113333324,3898.5087,4
56,1925.4318379999995,4303.2322,4
57,1808.8325773333336,3961.7868,4
58,1851.6840833333335,4686.0539,4
59,1807.4885693333329,4110.7428,4
60,1922.5784406666671,4188.9310000000005,4
61,1799.6064479999998,4189.0123,4
62,1835.4487666666666,4357.0869,4
63,1920.9177039999993,4049.0172000000002,4
64,1893.421614666666,3529.0733999999993,4
65,1837.66783,4025.7506999999996,4
66,1713.0810726666657,4018.4381,4
67,1764.2842693333332,3941.1522999999997,4
68,1825.7393773333333,4341.8775000000005,4
69,1955.3556579999997,3793.52,4
70,1865.056684666667,4018.930700000001,4
71,1961.2176780000007,4315.6738000000005,4
72,1856.2226200000014,3643.7511999999997,4
73,1864.1302173333331,3650.2671,4
74,1962.142462666667,4356.8724999999995,4
75,1808.2819700000005,3927.1565,4
76,1913.3629166666663,3885.2326,4
77,1785.9426439999995,3803.9912999999997,4
78,1790.1435999999992,3955.8570999999997,4
79,1834.8685080000002,3611.3778999999995,4
80,1686.7779686666674,3675.375,4
81,1832.8263160000008,4301.7361,4
82,1759.4274793333336,3717.2084,4
83,1919.2416273333338,4707.266299999999,4
84,1911.5094526666662,4162.356100000001,4
85,1755.7864253333328,4392.6266,4
86,1770.4287846666664,4164.6124,4
87,1890.678124666667,4447.9146,4
88,1932.2691139999997,4522.2753999999995,4
89,1988.1719900000003,4143.7579000000005,4
90,1788.1637973333332,3933.9796,4
91,1996.1627819999994,4144.577000000001,4
92,1792.7218093333336,4211.8865,4
93,1642.8218026666668,3822.6318,4
94,1849.1496540000007,3626.0405,4
95,1924.975248666666,4957.939899999999,4
96,1813.943436666667,4272.4102,4
97,1852.9516213333338,3704.9057999999995,4
98,1869.2572039999995,3905.6582000000003,4
99,1964.965186666667,3820.3317000000006,4
